NAME,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,STATUS,STATUS_YR,GOV_TYPE,ISO3
Área De Proteção Ambiental De São Bento,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,1997,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Padre Sérgio Tonetto,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Monumento Natural Municipal Da Floresta,Natural Monument,National,Not Reported,Not Applicable,Designated,2017,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Dois Irmãos,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata São João Da Várzea,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Jacutinga,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Peito De Pomba,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Estadual Serra Da Boa Esperança,Park,National,Not Reported,Not Applicable,Designated,2007,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Mata Do Toró,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Apa Mata Do Iguatemí,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,1993,Not Reported,BRA
Reserva Biológica Das Capivaras,Biological Reserve,National,Not Reported,Not Applicable,Designated,2001,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Vitória Primavera,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Mata Do Engenho Uchôa,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Dom Pedro,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Meu Cantinho,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Três Morenas,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Área De Proteção Ambiental  Trizidela De Uso Sustentável,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal Dos Morros,Park,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal De Conceição Da Barra,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Da Lagoa Da Jijoca,Environmental Protection Area,National,V,Not Applicable,Designated,2000,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Do Sagui Da Serra Escuro,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Municipal Das Serras De Maricá,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2011,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reluz,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2017,Sub-national ministry or agency,BRA
Parque Estadual Mata Do Zumbi,Park,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Parque Estadual Serra Do Areal,Park,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Parque Estadual De Santa Clara,Park,National,Not Reported,Not Applicable,Designated,2006,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Olívio Daleprane,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Águia Branca,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2017,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Camucim,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Vale Do Cantassurí,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimonio Natural Palmares,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Engenho Macaxeira,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Do Molhe Leste,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1996,Sub-national ministry or agency,BRA
Parque Nacional Dos Campos Ferruginosos,Park,National,Not Reported,Not Applicable,Designated,2017,Federal or national ministry or agency,BRA
Parque Natural Municipal Ribeirão Da Prata,Park,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Parque Natural Municipal Morro Dos Stinghen,Park,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Restinga De Aracruz,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2007,Sub-national ministry or agency,BRA
Reserva Extrativista Tapajós Arapiuns,Extractive Reserve,National,VI,Not Applicable,Designated,1998,Federal or national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Buraquinho,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Sítio São Pedro,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Parque Estadual Da Serra Da Tiririca,Park,National,Not Reported,Not Applicable,Designated,1993,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Boa Vista I,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Do Jequitibá,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Bianca,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Engenho São João,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Monumento Natural Municipal Da Pedra De Inoã,Natural Monument,National,Not Reported,Not Applicable,Designated,2011,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Dos Campos De Manicoré,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2016,Federal or national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Curado,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Toca Dos Ossos,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Área De Proteção Ambiental De Petrópolis,Environmental Protection Area,National,V,Not Applicable,Designated,1982,Federal or national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Fazenda São Pedro Da Barra,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2003,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Bohemia,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Pedra Da Lajinha,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Uruçu Capixaba,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
"Reserva Particular Do Patrimônio Natural Fernandes I, II E III",Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Alto Gururu,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal Do Pombo,Park,National,Not Reported,Not Applicable,Designated,2006,Sub-national ministry or agency,BRA
Reserva Extrativista Chocoaré-Mato Grosso,Extractive Reserve,National,VI,Not Applicable,Designated,2002,Federal or national ministry or agency,BRA
Parque Estadual Do Turvo,Park,National,II,Not Applicable,Designated,1947,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Tabuleiro Do Embaubal,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Monumento Natural Municipal Da Pedra De Itaocaia,Natural Monument,National,Not Reported,Not Applicable,Designated,2010,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Linda Sofia,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Parque Natural Municipal Do Dourado,Park,National,Not Reported,Not Applicable,Designated,2002,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Pedra Das Flores,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Lanço Dos Cações,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Biológica Do Manicoré,Biological Reserve,National,Not Reported,Not Applicable,Designated,2016,Federal or national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Koehler,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Riacho Pontal,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Santa Ana Ii,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Nossa Senhora Aparecida,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2008,Federal or national ministry or agency,BRA
Área De Proteção Ambiental Raposo,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Estação Ecológica De Caracaraí,Ecological Station,National,Ia,Not Applicable,Designated,1982,Federal or national ministry or agency,BRA
Estação Ecológica Veredas De Taquarussu,Ecological Station,National,Not Reported,Not Applicable,Designated,2017,Sub-national ministry or agency,BRA
Parque Natural Municipal Do Pequi,Park,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Estação Ecológica Municipal Do Pirajibu,Ecological Station,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Parque Estadual Da Cachoeira Da Fumaça,Park,National,Not Reported,Not Applicable,Designated,2009,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Santa Ana I,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Floresta Nacional De Balata-Tufari,Forest,National,VI,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Refúgio De Vida Silvestre Lago Mole,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal De Itaperuna,Park,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Parque Natural Municipal Templo Dos Pilares,Park,National,Not Reported,Not Applicable,Designated,2003,Sub-national ministry or agency,BRA
Parque Nacional Da Lagoa Do Peixe,Park,National,II,Not Applicable,Designated,1986,Federal or national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Arco Verde,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Dutra Pimenta,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Vale Do Sol,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2010,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Da Cipó,Park,National,II,Not Applicable,Designated,1984,Federal or national ministry or agency,BRA
Parque Nacional Da Serra Da Cutia,Park,National,II,Not Applicable,Designated,2001,Federal or national ministry or agency,BRA
Parque Municipal Natural Da Boa Esperança,Park,National,Not Reported,Not Applicable,Designated,2001,Sub-national ministry or agency,BRA
Refugio De Vida Silvestre Do Chaua,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata De Mussaíba,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Parque Natural Municipal De São Gonçalo,Park,National,Not Reported,Not Applicable,Designated,2001,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Dos Orgãos,Park,National,II,Not Applicable,Designated,1939,Federal or national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Yara Brunini,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2010,Sub-national ministry or agency,BRA
Parque Estadual Vitório Piassa,Park,National,Not Reported,Not Applicable,Designated,2009,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Corumbau I,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Dos Campos De Palmas,Wildlife Refuge,National,III,Not Applicable,Designated,2006,Federal or national ministry or agency,BRA
Refúgio De Vida Silvestre Mata De Santa Cruz,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Estação Ecológica Serra Da Canoa,Ecological Station,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Mario E Alba Corral,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Parque Natural Municipal Das Dunas Da Sabiaguaba,Park,National,Not Reported,Not Applicable,Designated,2006,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimonio Natural Rppn Oasis Araripe,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Federal or national ministry or agency,BRA
Parque Natural Municipal Da Cachoeira De Santo Antônio,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Parque Natural Municipal Do Poxim,Park,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal Professor João Vasconcelos Sobrinho,Park,National,Not Reported,Not Applicable,Designated,1983,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Cotinga-Crejoá,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Corumbau,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Da Água Boa,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Estação Ecologica Bita E Utinga,Ecological Station,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Parque Natural Municipal Morro Do Ouro,Park,National,Not Reported,Not Applicable,Designated,2004,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Mariana,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Do Pinhão.,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1983,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Regina,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Ecológica Chefe Rosa.,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Amparo,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Parque Estadual Mata De Duas Lagoas,Park,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Parque Natural Municipal Das Orquídeas José Pinheiro De Souza,Park,National,Not Reported,Not Applicable,Designated,2002,Sub-national ministry or agency,BRA
Parque Natural Municipal Sabiá-Laranjeira De Rosal.,Park,National,Not Reported,Not Applicable,Designated,2002,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Da Serra Do Saubal,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2011,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Do Divisor,Park,National,II,Not Applicable,Designated,1989,Federal or national ministry or agency,BRA
Parque Natural Municipal Da Caixa D´Água,Park,National,Not Reported,Not Applicable,Designated,2008,Sub-national ministry or agency,BRA
Parque Natural Municipal Nascente Do Jaibi,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Nossa Senhora Aparecida,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2008,Federal or national ministry or agency,BRA
Monumento Natural Pedra Do Cachorro,Natural Monument,National,Not Reported,Not Applicable,Designated,2014,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Do Engenho Pequeno,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,1991,Sub-national ministry or agency,BRA
Reserva Particular Patrimônio Natural Irara,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Regina Clara,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Mata Do Engenho Salgadinho,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Espinita,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular De Patrimônio Natural Rancho Letty,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Estação Ecológica Governador Mario Covas,Ecological Station,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Monte Alegre (Alírio Braz),Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2017,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Mestre Bonina,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Bom Jesus,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2002,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Reserva Lukavec,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2013,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Mata Do Outeiro Do Pedro,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,1987,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Do Juá,Environmental Protection Area,National,Not Reported,Not Applicable,Designated,2012,Sub-national ministry or agency,BRA
Parque Natural Municipal Saint Hilaire,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Parque Estadual Do Espinilho,Park,National,Not Reported,Not Applicable,Designated,1975,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Barro Branco,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Mato Da Onça,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Parque Estadual Ponta Da Tulha,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Reserva Particular Do Patrimônio Natural Boa Fé,Natural Heritage Private Reserve,National,Not Reported,Not Applicable,Designated,2016,Sub-national ministry or agency,BRA
Parque Natural Municipal De Brigadeiro Tobias,Park,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Parque Natural Municipal Corredores De Biodiversidade,Park,National,Not Reported,Not Applicable,Designated,2011,Sub-national ministry or agency,BRA
Estação Ecológica De Guaraqueçaba,Ecological Station,National,Ia,Not Applicable,Designated,1982,Federal or national ministry or agency,BRA
Estação Ecológica Da Terra Do Meio,Ecological Station,National,Ia,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Reserva Biológica Do Parque Equitativa,Biological Reserve,National,Not Reported,Not Applicable,Designated,2009,Sub-national ministry or agency,BRA
Refúgio Da Vida Silvestre Tatu-Bola,Wildlife Refuge,National,Not Reported,Not Applicable,Designated,2015,Sub-national ministry or agency,BRA
Reserva Extrativista Alto Tarauacá,Extractive Reserve,National,VI,Not Applicable,Designated,2000,Federal or national ministry or agency,BRA
Floresta Nacional De Jatuarana,Forest,National,VI,Not Applicable,Designated,2002,Federal or national ministry or agency,BRA
Parque Nacional Da Serra Da Capivara,Park,National,II,Not Applicable,Designated,1979,Federal or national ministry or agency,BRA
Estação Ecológica De Paulo De Faria,Ecological Station,National,Ia,Not Applicable,Designated,1981,Sub-national ministry or agency,BRA
Área De Relevante Interesse Ecológica Matão De Cosmópolis,Area of Relevant Ecological Interest,National,IV,Not Applicable,Designated,1985,Federal or national ministry or agency,BRA
Estação Ecológica De Iquê,Ecological Station,National,Ia,Not Applicable,Designated,1981,Federal or national ministry or agency,BRA
Estação Ecológica Mico Leão Preto,Ecological Station,National,Ia,Not Applicable,Designated,2002,Federal or national ministry or agency,BRA
Parque Nacional Do Jaú,Park,National,II,Not Applicable,Designated,1980,Federal or national ministry or agency,BRA
Estação Ecológica Mar De Espanha,Ecological Station,National,Ia,Not Applicable,Designated,1974,Sub-national ministry or agency,BRA
Reserva Biológica União,Biological Reserve,National,Ia,Not Applicable,Designated,1998,Federal or national ministry or agency,BRA
Parque Nacional Da Serra De Itabaiana,Park,National,II,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Reserva Extrativista Ipê,Extractive Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,BRA
Parque Nacional Da Chapada Dos Veadeiros,Park,National,II,Not Applicable,Designated,1961,Federal or national ministry or agency,BRA
Floresta Nacional De Mário Xavier,Forest,National,VI,Not Applicable,Designated,1986,Federal or national ministry or agency,BRA
Parque Estadual Da Campina Do Encantado,Park,National,II,Not Applicable,Designated,1994,Sub-national ministry or agency,BRA
Parque Nacional Da Chapada Das Mesas,Park,National,II,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Parque Estadual De Campos Do Jordão,Park,National,II,Not Applicable,Designated,1941,Sub-national ministry or agency,BRA
Parque Nacional Da Chapada Dos Guimarães,Park,National,II,Not Applicable,Designated,1989,Federal or national ministry or agency,BRA
Área De Proteção Ambiental Da Serra De Baturité,Environmental Protection Area,National,V,Not Applicable,Designated,1990,Sub-national ministry or agency,BRA
Área De Relevante Interesse Ecológico Ilhas Queimada Grande E Queimada Pequena,Area of Relevant Ecological Interest,National,IV,Not Applicable,Designated,1985,Federal or national ministry or agency,BRA
Reserva De Desenvolvimento Sustentável Amanã,Sustainable Development Reserve,National,VI,Not Applicable,Designated,1998,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Do Estuário Do Rio Mundaú,Environmental Protection Area,National,V,Not Applicable,Designated,1999,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Da Lagoa Do Uruaú,Environmental Protection Area,National,V,Not Applicable,Designated,1999,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Da Canastra,Park,National,II,Not Applicable,Designated,1972,Federal or national ministry or agency,BRA
Parque Estadual Do Cantão,Park,National,II,Not Applicable,Designated,1998,Sub-national ministry or agency,BRA
Estação Ecológica De Tamoios,Ecological Station,National,Ia,Not Applicable,Designated,1990,Federal or national ministry or agency,BRA
Parque Estadual Dos Mananciais De Campos Do Jordão,Park,National,II,Not Applicable,Designated,1993,Sub-national ministry or agency,BRA
Parque Estadual Sumaúma,Park,National,II,Not Applicable,Designated,2003,Sub-national ministry or agency,BRA
Reserva Extrativista Do Itaúba,Extractive Reserve,National,VI,Not Applicable,Designated,1995,Sub-national ministry or agency,BRA
Refúgio De Vida Silvestre Corixão Da Mata Azul,Wildlife Refuge,National,III,Not Applicable,Designated,2001,Sub-national ministry or agency,BRA
Parque Estadual Da Ilha Do Mel,Park,National,II,Not Applicable,Designated,2002,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Fernão Dias,Environmental Protection Area,National,V,Not Applicable,Designated,1997,Sub-national ministry or agency,BRA
Estação Ecológica Raso Da Catarina,Ecological Station,National,Ia,Not Applicable,Designated,1984,Federal or national ministry or agency,BRA
Parque Nacional Da Amazônia,Park,National,II,Not Applicable,Designated,1974,Federal or national ministry or agency,BRA
Parque Nacional Da Serra Da Bodoquena,Park,National,II,Not Applicable,Designated,2000,Federal or national ministry or agency,BRA
Área De Proteção Ambiental Da Bacia Do Rio São João - Mico Leão,Environmental Protection Area,National,V,Not Applicable,Designated,2002,Federal or national ministry or agency,BRA
Parque Nacional Dos Campos Amazônicos,Park,National,II,Not Applicable,Designated,2006,Federal or national ministry or agency,BRA
Estação Ecológica Do Castanhão,Ecological Station,National,Ia,Not Applicable,Designated,2001,Federal or national ministry or agency,BRA
Reserva Extrativista Rio Preto-Jacundá,Extractive Reserve,National,VI,Not Applicable,Designated,1996,Sub-national ministry or agency,BRA
Floresta Nacional De Três Barras,Forest,National,VI,Not Applicable,Designated,1968,Federal or national ministry or agency,BRA
Parque Nacional Da Serra Da Bocaina,Park,National,II,Not Applicable,Designated,1971,Federal or national ministry or agency,BRA
Floresta Estadual Maúes,Forest,National,VI,Not Applicable,Designated,2003,Sub-national ministry or agency,BRA
Estação Ecológica Mata Dos Ausentes,Ecological Station,National,Ia,Not Applicable,Designated,1974,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Conceição Da Barra,Environmental Protection Area,National,V,Not Applicable,Designated,2007,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Lajedão,Environmental Protection Area,National,V,Not Applicable,Designated,1998,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Santo Antônio,Environmental Protection Area,National,V,Not Applicable,Designated,1994,Sub-national ministry or agency,BRA
Reserva Extrativista Ipaú-Anilzinho,Extractive Reserve,National,VI,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Parque Estadual Da Serra Do Mar,Park,National,II,Not Applicable,Designated,1977,Sub-national ministry or agency,BRA
Parque Estadual Da Serra Do Tabuleiro,Park,National,II,Not Applicable,Designated,1975,Sub-national ministry or agency,BRA
Área De Proteção Ambiental Da Bica Do Ipú,Environmental Protection Area,National,V,Not Applicable,Designated,1999,Sub-national ministry or agency,BRA
Área De Proteção Ambiental De Piaçabuçu,Environmental Protection Area,National,V,Not Applicable,Designated,1983,Federal or national ministry or agency,BRA
Estação Ecológica De Ribeirão Preto,Ecological Station,National,Ia,Not Applicable,Designated,1982,Sub-national ministry or agency,BRA
Parque Estadual  Da Ilha Do Cardoso,Park,National,Not Reported,Not Applicable,Designated,1962,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Do Pardo,Park,National,II,Not Applicable,Designated,2005,Federal or national ministry or agency,BRA
Área De Proteção Ambiental Ilha Do Bananal/Cantão,Environmental Protection Area,National,V,Not Applicable,Designated,1997,Sub-national ministry or agency,BRA
Parque Nacional Da Serra Do Itajaí,Park,National,II,Not Applicable,Designated,2004,Federal or national ministry or agency,BRA
